42797,30/05/2013,23:08:11,29593,4,2
42798,04/04/2013,10:20:12,28504,1,1
42799,09/05/2013,18:41:52,13797,6,2
42800,12/01/2013,02:40:17,16219,4,1
42801,19/01/2013,09:17:33,39731,4,3
42802,18/02/2013,06:26:15,29523,3,2
42803,09/06/2013,17:55:51,28622,1,1
42804,09/06/2013,05:03:24,22719,4,3
42805,05/04/2013,06:58:47,22305,4,3
42806,17/05/2013,04:21:21,28690,4,2
42807,13/05/2013,13:55:15,15896,4,1
42808,04/05/2013,21:24:07,5645,1,2
42809,20/02/2013,17:31:46,32048,1,1
42810,15/05/2013,05:51:12,7098,3,3
42811,28/05/2013,00:11:31,2867,3,1
42812,28/03/2013,15:24:18,19912,5,3
42813,04/03/2013,14:05:39,22159,3,1
42814,27/01/2013,18:32:48,32288,6,3
42815,08/06/2013,13:10:31,28886,4,2
42816,18/03/2013,01:57:24,948,2,1
42817,14/05/2013,14:36:59,24859,3,1
42818,17/03/2013,21:51:14,16979,2,3
42819,02/03/2013,02:41:27,18565,6,3
42820,08/01/2013,12:06:53,15310,2,3
42821,16/04/2013,07:32:15,24817,4,3
42822,25/03/2013,08:20:26,26096,3,1
42823,14/01/2013,05:21:19,19363,1,2
42824,20/02/2013,15:54:48,39934,1,1
42825,28/01/2013,02:07:40,31049,4,3
42826,22/02/2013,22:50:15,5275,3,3
42827,14/04/2013,07:47:54,14199,3,2
42828,22/05/2013,04:23:07,28149,1,1
42829,17/01/2013,01:18:14,22913,4,1
42830,18/03/2013,07:42:31,13912,3,1
42831,30/04/2013,20:33:16,9743,3,3
42832,21/03/2013,06:10:02,30560,2,3
42833,03/02/2013,12:49:03,15834,3,2
42834,24/04/2013,12:38:29,15920,6,1
42835,18/06/2013,01:30:50,30985,5,1
42836,05/06/2013,12:04:10,28952,4,3
42837,14/02/2013,04:41:01,22384,1,2
42838,10/03/2013,13:20:07,11305,3,3
42839,25/03/2013,17:47:56,22721,6,2
42840,26/04/2013,02:58:42,31320,4,3
42841,18/06/2013,04:43:39,14331,4,1
42842,18/03/2013,05:27:52,21686,1,3
42843,04/06/2013,08:56:57,28581,1,2
42844,22/01/2013,18:28:17,26161,1,3
42845,13/01/2013,22:07:24,1299,2,3
42846,26/05/2013,14:17:19,12883,3,1
42847,10/01/2013,08:16:58,28219,3,1
42848,18/03/2013,17:31:06,4141,6,1
42849,25/05/2013,02:47:56,31642,3,3
42850,13/06/2013,02:17:16,7703,2,2
42851,21/05/2013,05:18:50,23289,5,2
42852,02/01/2013,08:38:33,25281,4,2
42853,05/02/2013,12:35:04,11186,3,2
42854,07/01/2013,23:11:36,12050,3,1
42855,25/04/2013,06:06:05,12842,6,1
42856,21/01/2013,20:55:03,39767,2,2
42857,01/04/2013,07:58:42,5430,2,1
42858,11/06/2013,16:47:48,27471,3,2
42859,20/02/2013,14:23:55,28754,6,3
42860,25/03/2013,21:10:41,20522,2,2
42861,16/06/2013,00:24:12,20861,5,2
42862,02/06/2013,12:54:05,33281,2,1
42863,01/02/2013,22:29:12,11829,3,3
42864,26/04/2013,08:48:41,15657,3,1
42865,12/02/2013,09:49:51,30994,5,1
42866,16/06/2013,06:48:13,31379,2,2
42867,21/01/2013,10:33:36,39174,3,3
42868,10/03/2013,21:30:55,18937,1,1
42869,16/05/2013,01:38:58,22757,3,2
42870,02/03/2013,22:39:57,16883,4,3
42871,22/05/2013,07:32:30,23509,4,3
42872,26/03/2013,07:23:16,6371,4,2
42873,13/01/2013,06:38:48,8857,1,3
42874,15/01/2013,23:10:08,27717,6,1
42875,14/03/2013,08:12:18,14997,5,3
42876,23/05/2013,04:43:46,17065,1,3
42877,24/01/2013,05:59:10,1749,3,3
42878,08/06/2013,01:48:36,36259,1,1
42879,05/02/2013,03:28:24,6252,6,2
42880,02/05/2013,20:56:00,6460,1,3
42881,17/06/2013,09:03:05,34829,5,1
42882,19/05/2013,00:13:25,16194,3,1
42883,03/01/2013,02:46:30,31127,6,3
42884,03/02/2013,15:49:52,10070,4,1
42885,22/01/2013,14:01:46,6484,3,3
42886,13/04/2013,14:54:08,7679,1,1
42887,22/02/2013,05:19:43,37921,1,2
42888,13/04/2013,16:52:52,5861,3,3
42889,24/03/2013,03:06:57,12602,3,3
42890,23/03/2013,03:41:26,13955,6,2
42891,04/04/2013,03:13:52,27627,1,3
42892,06/02/2013,15:33:44,33382,5,3
42893,19/04/2013,10:12:25,3209,1,3
42894,08/01/2013,16:25:33,12537,4,2
42895,11/04/2013,09:13:42,37831,1,3
42896,22/04/2013,20:21:25,17783,4,1
42897,08/05/2013,16:57:53,8812,2,2
42898,24/05/2013,00:06:22,14090,3,3
42899,08/01/2013,12:02:14,2922,6,1
42900,30/04/2013,23:41:38,36837,1,2
42901,06/01/2013,15:07:06,32101,6,1
42902,24/01/2013,10:57:05,32128,2,3
42903,21/01/2013,08:06:03,11194,4,3
42904,22/03/2013,06:13:35,19101,6,2
42905,28/02/2013,02:53:12,30629,1,3
42906,13/06/2013,11:44:35,36660,5,1
42907,27/01/2013,00:38:43,9502,3,3
42908,17/01/2013,11:49:22,31321,3,3
42909,03/03/2013,01:23:34,26092,5,2
42910,18/05/2013,22:48:32,14905,4,3
42911,15/05/2013,06:55:04,16075,4,3
42912,30/03/2013,20:38:29,3243,5,3
42913,23/03/2013,14:56:35,25832,2,2
42914,31/03/2013,09:01:56,32203,2,2
42915,09/05/2013,00:28:45,32123,1,3
42916,29/05/2013,01:40:05,27905,6,3
42917,06/02/2013,09:03:04,12199,4,2
42918,06/02/2013,19:15:35,36247,5,2
42919,05/04/2013,09:25:36,12851,5,2
42920,22/04/2013,04:05:16,25584,1,3
42921,06/06/2013,10:04:40,25383,4,2
42922,25/02/2013,20:28:58,37756,4,1
42923,22/03/2013,21:25:11,28517,1,3
42924,01/05/2013,08:52:08,9490,3,2
42925,11/01/2013,04:21:46,15351,6,2
42926,24/01/2013,03:10:03,30726,3,2
42927,16/05/2013,00:23:14,36154,2,1
42928,29/03/2013,11:55:54,1338,5,2
42929,26/02/2013,16:43:33,28509,6,3
42930,05/02/2013,04:06:24,25367,4,3
42931,10/02/2013,13:47:18,12585,4,2
42932,01/04/2013,00:16:48,14945,5,2
42933,12/02/2013,10:12:23,24717,2,3
42934,20/05/2013,11:10:19,16870,5,2
42935,29/04/2013,19:18:15,9335,1,3
42936,13/04/2013,16:27:58,15941,2,1
42937,18/02/2013,22:55:26,30280,6,1
42938,31/01/2013,08:20:19,3111,4,1
42939,11/01/2013,17:49:55,20108,4,3
42940,26/02/2013,08:46:10,15751,4,2
