,23215,2,2
7583,16/05/2013,09:33:42,6659,3,3
7584,26/03/2013,22:25:10,16550,4,3
7585,30/01/2013,19:37:53,15754,5,3
7586,03/04/2013,17:17:15,13201,2,2
7587,31/03/2013,05:23:31,10909,4,3
7588,24/01/2013,03:39:48,1383,4,3
7589,09/01/2013,20:19:07,3121,3,1
7590,02/05/2013,20:37:07,37509,1,1
7591,11/03/2013,11:35:09,6737,6,2
7592,18/05/2013,04:21:47,36838,6,2
7593,26/02/2013,15:33:37,13020,4,2
7594,01/05/2013,17:07:39,1216,2,1
7595,18/01/2013,06:19:21,5397,6,3
7596,16/03/2013,19:51:57,35949,6,1
7597,09/06/2013,11:44:51,22510,6,3
7598,11/06/2013,20:33:53,32357,1,3
7599,20/02/2013,14:21:47,10858,2,1
7600,26/04/2013,08:32:00,7447,2,1
7601,17/03/2013,20:33:45,28524,6,1
7602,02/06/2013,13:34:16,29877,1,1
7603,20/03/2013,15:18:40,7809,4,3
7604,22/01/2013,20:52:24,34344,3,1
7605,25/01/2013,03:43:16,39887,4,1
7606,02/03/2013,05:25:43,27381,5,3
7607,11/01/2013,15:18:17,31588,4,1
7608,21/03/2013,09:00:17,28659,4,2
7609,18/03/2013,06:49:50,5306,2,1
7610,02/04/2013,14:05:05,5854,4,1
7611,28/04/2013,05:00:39,10644,3,3
7612,07/06/2013,21:50:07,20390,4,3
7613,03/06/2013,16:14:32,32960,2,1
7614,03/04/2013,20:49:38,38427,5,2
7615,10/06/2013,12:48:06,2162,6,1
7616,14/02/2013,09:19:31,28874,3,2
7617,19/01/2013,14:46:04,27323,5,3
7618,12/04/2013,23:58:46,20360,1,2
7619,03/01/2013,11:59:03,11482,3,2
7620,23/01/2013,01:12:41,14659,5,1
7621,13/02/2013,22:08:29,38831,1,1
7622,08/06/2013,11:59:47,7330,4,2
7623,24/02/2013,22:57:35,35930,3,1
7624,07/05/2013,15:33:56,20000,3,1
7625,19/01/2013,08:05:48,32033,3,1
7626,18/03/2013,18:20:00,35168,5,1
7627,12/04/2013,13:11:18,23687,1,2
7628,06/01/2013,18:34:04,16119,5,1
7629,18/04/2013,03:56:12,27832,2,1
7630,16/03/2013,18:27:45,24176,3,1
7631,25/02/2013,19:49:58,8320,3,2
7632,08/05/2013,22:51:44,25345,3,3
7633,22/04/2013,00:28:12,25470,4,3
7634,09/06/2013,11:24:49,21124,4,1
7635,09/03/2013,13:57:28,9609,4,3
7636,05/02/2013,09:52:30,16265,1,1
7637,13/01/2013,18:11:30,39845,5,3
7638,02/04/2013,10:12:50,2078,1,3
7639,16/03/2013,15:09:29,21282,6,2
7640,27/04/2013,15:28:04,6,4,2
7641,09/05/2013,21:34:42,39823,2,1
7642,21/05/2013,07:35:56,29166,6,3
7643,17/01/2013,11:29:29,16289,2,1
7644,08/04/2013,04:18:13,5768,2,1
7645,13/06/2013,03:22:36,23135,3,1
